[-8.83125224e-17],[-4.29314134e-16],[1.]
[-8.83376726e-17],[-4.28316043e-16],[0.99802085]
[-3.71281043e-08],[-1.15633925e-07],[0.99604411]
[-1.10067916e-07],[-3.30276395e-07],[0.99406977]
[-2.17626713e-07],[-6.29817464e-07],[0.99209781]
[-3.58717986e-07],[-1.00228873e-06],[0.99012822]
[-5.32346575e-07],[-1.437545e-06],[0.988161]
[-7.37596008e-07],[-1.9269932e-06],[0.98619613]
[-9.73617715e-07],[-2.4633616e-06],[0.98423361]
[-1.23962184e-06],[-3.04050317e-06],[0.98227343]
[-1.53486938e-06],[-3.65322817e-06],[0.98031559]
[-1.85866556e-06],[-4.29716157e-06],[0.97836007]
[-2.21035405e-06],[-4.96862156e-06],[0.97640689]
[-2.58931216e-06],[-5.66451613e-06],[0.97445602]
[-2.99494667e-06],[-6.38225491e-06],[0.97250747]
[-3.42669027e-06],[-7.11967411e-06],[0.97056124]
[-3.88399852e-06],[-7.87497261e-06],[0.96861731]
[-4.3663473e-06],[-8.64665747e-06],[0.96667569]
[-4.87323052e-06],[-9.43349754e-06],[0.96473638]
[-5.40415828e-06],[-1.02344839e-05],[0.96279936]
[-5.95865523e-06],[-1.10487965e-05],[0.96086465]
[-6.53625915e-06],[-1.18757748e-05],[0.95893222]
[-7.13651974e-06],[-1.27148942e-05],[0.95700209]
[-7.75899765e-06],[-1.35657448e-05],[0.95507425]
[-8.40326353e-06],[-1.44280136e-05],[0.9531487]
[-9.06889729e-06],[-1.53014698e-05],[0.95122543]
[-9.75548743e-06],[-1.61859514e-05],[0.94930445]
[-1.04626305e-05],[-1.70813552e-05],[0.94738574]
[-1.11899305e-05],[-1.79876263e-05],[0.94546932]
[-1.19369987e-05],[-1.89047514e-05],[0.94355517]
[-1.27034529e-05],[-1.98327511e-05],[0.94164329]
[-1.34889173e-05],[-2.07716748e-05],[0.93973368]
[-1.42930224e-05],[-2.17215955e-05],[0.93782634]
[-1.51154043e-05],[-2.26826059e-05],[0.93592127]
[-1.5955705e-05],[-2.36548147e-05],[0.93401847]
[-1.68135715e-05],[-2.46383436e-05],[0.93211793]
[-1.76886566e-05],[-2.56333251e-05],[0.93021964]
[-1.85806177e-05],[-2.66399e-05],[0.92832362]
[-1.94891175e-05],[-2.76582155e-05],[0.92642985]
[-2.04138233e-05],[-2.8688424e-05],[0.92453834]
[-2.13544071e-05],[-2.97306819e-05],[0.92264908]
[-2.23105457e-05],[-3.07851479e-05],[0.92076207]
[-2.32819201e-05],[-3.18519825e-05],[0.91887731]
[-2.42682159e-05],[-3.29313472e-05],[0.9169948]
[-2.52691231e-05],[-3.40234039e-05],[0.91511453]
[-2.62843356e-05],[-3.51283141e-05],[0.9132365]
[-2.73135518e-05],[-3.62462386e-05],[0.91136071]
[-2.83564741e-05],[-3.7377337e-05],[0.90948716]
[-2.94128087e-05],[-3.85217678e-05],[0.90761584]
[-3.04822662e-05],[-3.96796874e-05],[0.90574676]
[-3.15645606e-05],[-4.08512506e-05],[0.90387991]
[-3.26594102e-05],[-4.20366101e-05],[0.90201529]
[-3.37665367e-05],[-4.32359163e-05],[0.9001529]
[-3.48856659e-05],[-4.44493172e-05],[0.89829274]
[-3.6016527e-05],[-4.56769586e-05],[0.8964348]
[-3.71588529e-05],[-4.69189837e-05],[0.89457908]
[-3.83123802e-05],[-4.81755332e-05],[0.89272558]
[-3.94768489e-05],[-4.94467451e-05],[0.8908743]
[-4.06520025e-05],[-5.07327551e-05],[0.88902523]
[-4.18375881e-05],[-5.2033696e-05],[0.88717838]
[-4.3033356e-05],[-5.33496983e-05],[0.88533374]
[-4.42390598e-05],[-5.46808895e-05],[0.88349131]
[-4.54544568e-05],[-5.60273949e-05],[0.88165108]
[-4.66793072e-05],[-5.73893371e-05],[0.87981306]
[-4.79133744e-05],[-5.8766836e-05],[0.87797725]
[-4.91564254e-05],[-6.01600091e-05],[0.87614364]
[-5.04082298e-05],[-6.15689714e-05],[0.87431222]
[-5.16685608e-05],[-6.29938355e-05],[0.87248301]
[-5.29371943e-05],[-6.44347113e-05],[0.87065599]
[-5.42139095e-05],[-6.58917064e-05],[0.86883116]
[-5.54984883e-05],[-6.73649262e-05],[0.86700853]
[-5.6790716e-05],[-6.88544734e-05],[0.86518809]
[-5.80903803e-05],[-7.03604488e-05],[0.86336983]
[-5.93972722e-05],[-7.18829504e-05],[0.86155376]
[-6.07111853e-05],[-7.34220744e-05],[0.85973987]
[-6.20319161e-05],[-7.49779145e-05],[0.85792816]
[-6.33592639e-05],[-7.65505624e-05],[0.85611864]
[-6.46930307e-05],[-7.81401076e-05],[0.85431129]
[-6.60330213e-05],[-7.97466373e-05],[0.85250612]
[-6.7379043e-05],[-8.13702369e-05],[0.85070312]
[-6.87309059e-05],[-8.30109895e-05],[0.84890229]
[-7.00884227e-05],[-8.46689764e-05],[0.84710363]
[-7.14514087e-05],[-8.63442768e-05],[0.84530714]
[-7.28196815e-05],[-8.80369678e-05],[0.84351282]
[-7.41930616e-05],[-8.9747125e-05],[0.84172066]
[-7.55713717e-05],[-9.14748216e-05],[0.83993066]
[-7.6954437e-05],[-9.32201293e-05],[0.83814282]
[-7.83420853e-05],[-9.49831179e-05],[0.83635714]
[-7.97341467e-05],[-9.67638553e-05],[0.83457361]
[-8.11304535e-05],[-9.85624076e-05],[0.83279224]
[-8.25308406e-05],[-0.00010038],[0.83101302]
[-8.39351451e-05],[-0.00010221],[0.82923595]
[-8.53432063e-05],[-0.00010407],[0.82746103]
[-8.67548658e-05],[-0.00010594],[0.82568826]
[-8.81699676e-05],[-0.00010782],[0.82391762]
[-8.95883576e-05],[-0.00010973],[0.82214913]
[-9.10098841e-05],[-0.00011166],[0.82038279]
[-9.24343974e-05],[-0.0001136],[0.81861857]
[-9.38617501e-05],[-0.00011556],[0.8168565]
[-9.52917967e-05],[-0.00011754],[0.81509656]
[-9.67243939e-05],[-0.00011954],[0.81333875]
[-9.81594003e-05],[-0.00012156],[0.81158307]
[-9.95966768e-05],[-0.00012359],[0.80982952]
[-0.00010104],[-0.00012565],[0.8080781]
[-0.00010248],[-0.00012772],[0.8063288]
